org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-19 11:16:03,564 -- INFO -- Mapped URL path [/login/verify/] onto handler 'loginController'
org.springframework.web.servlet.DispatcherServlet 2016-01-19 11:16:04,075 -- INFO -- FrameworkServlet 'dispatcher': initialization completed in 3267 ms
org.springframework.web.servlet.PageNotFound 2016-01-19 11:16:13,521 -- WARN -- No mapping found for HTTP request with URI [/InvoiceProject/app/js/lib/jquery.min.map] in DispatcherServlet with name 'dispatcher'
org.springframework.web.servlet.PageNotFound 2016-01-19 11:16:13,521 -- WARN -- No mapping found for HTTP request with URI [/InvoiceProject/app/js/lib/angular-route.min.js.map] in DispatcherServlet with name 'dispatcher'
org.springframework.web.servlet.PageNotFound 2016-01-19 11:21:17,480 -- WARN -- No mapping found for HTTP request with URI [/InvoiceProject/app/css/bootstrap.min.css.map] in DispatcherServlet with name 'dispatcher'
org.springframework.web.servlet.PageNotFound 2016-01-19 11:21:17,590 -- WARN -- No mapping found for HTTP request with URI [/InvoiceProject/app/js/lib/jquery.min.map] in DispatcherServlet with name 'dispatcher'
org.springframework.web.servlet.PageNotFound 2016-01-19 11:21:17,593 -- WARN -- No mapping found for HTTP request with URI [/InvoiceProject/app/js/lib/angular-route.min.js.map] in DispatcherServlet with name 'dispatcher'
com.invoice.controller.LoginController 2016-01-19 11:25:30,531 -- INFO -- Inside verifyLogin method in LoginController
com.invoice.controller.LoginController 2016-01-19 11:25:30,751 -- INFO -- Exit from verifyLogin method in LoginController
com.invoice.controller.LoginController 2016-01-19 11:25:31,462 -- INFO -- Inside getInvoiceList method in InvoiceController
com.invoice.controller.LoginController 2016-01-19 11:25:31,484 -- INFO -- Exit from getInvoiceList method in InvoiceController
com.invoice.controller.LoginController 2016-01-19 12:00:08,363 -- INFO -- Inside logout method in LoginController
com.invoice.controller.LoginController 2016-01-19 12:00:08,364 -- INFO -- Exit from logout method in LoginController
com.invoice.controller.LoginController 2016-01-19 12:02:16,429 -- INFO -- Inside getInvoiceList method in InvoiceController
com.invoice.controller.LoginController 2016-01-19 12:02:16,456 -- INFO -- Exit from getInvoiceList method in InvoiceController
com.invoice.controller.LoginController 2016-01-19 12:20:44,333 -- INFO -- Inside verifyLogin method in LoginController
com.invoice.controller.LoginController 2016-01-19 12:20:44,353 -- INFO -- Exit from verifyLogin method in LoginController
com.invoice.controller.LoginController 2016-01-19 12:20:44,583 -- INFO -- Inside getInvoiceList method in InvoiceController
com.invoice.controller.LoginController 2016-01-19 12:20:44,600 -- INFO -- Exit from getInvoiceList method in InvoiceController
com.invoice.controller.LoginController 2016-01-19 12:20:45,652 -- INFO -- Inside logout method in LoginController
com.invoice.controller.LoginController 2016-01-19 12:20:45,652 -- INFO -- Exit from logout method in LoginController
com.invoice.controller.LoginController 2016-01-19 12:20:51,685 -- INFO -- Inside getInvoiceList method in InvoiceController
com.invoice.controller.LoginController 2016-01-19 12:20:51,704 -- INFO -- Exit from getInvoiceList method in InvoiceController
org.springframework.web.servlet.DispatcherServlet 2016-01-19 16:13:31,260 -- INFO -- FrameworkServlet 'dispatcher': initialization started
